// ~->[CASE-1]->~
DiaSemana   Hora   Appliance
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Quinta   dezoito   Fan
Sexta   quatorze   Shower
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Quinta   vinteUm   Shower
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Quinta   vinteTres   Fridge
Quinta   vinteTres   Fridge
Sexta   quatorze   Fan
Sexta   zero   Shower
Sexta   zero   Fridge
Sexta   um   Fridge
Sexta   um   Fan
Sexta   um   Fan
Sexta   um   Fridge
Sexta   dois   Shower
Sexta   dois   Fan
Sexta   dois   Fan
Sexta   dois   Fridge
Sexta   tres   Fan
Sexta   tres   Fridge
Sexta   quatro   Fridge
Sexta   quatro   Fridge
Sexta   cinco   Fridge
Sexta   seis   Fridge
Sexta   seis   Fridge
Sexta   sete   Fridge
Sexta   oito   Fridge
Sexta   oito   Fridge
Sexta   quatorze   Fridge
Sexta   nove   Fridge
Sexta   nove   Fan
Sexta   nove   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   dez   Shower
Sexta   dez   Fridge
Sexta   dez   Fan
Sexta   onze   Shower
Sexta   onze   Shower
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   doze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Shower
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   dezessete   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   dezessete   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Shower
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fridge
Sexta   quatorze   Fridge
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fridge
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fan
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fridge
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fridge
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Fan
Sexta   treze   Grill
Sexta   dezenove   Fridge
Sexta   dezenove   Fridge
Sexta   dezenove   Fridge
Sexta   treze   Fan
Sexta   vinte   Fridge
Sexta   vinteUm   Fridge
Sexta   vinteUm   Fan
Sexta   vinteDois   Fridge
Sexta   vinteDois   Shower
Sexta   vinteDois   Fan
Sexta   vinteDois   Fan
Sexta   vinteDois   Fridge
Sexta   vinteDois   Shower
Sexta   treze   Fridge
Sexta   vinteTres   Fan
Sexta   treze   Fan
Sabado   um   Fridge
Sabado   dois   Fridge
Sabado   tres   Fridge
Sabado   tres   Fridge
Sabado   cinco   Fridge
Sabado   seis   Fridge
Sabado   sete   Fridge
Sabado   sete   Fridge
Sabado   oito   Fridge
Sabado   nove   Fridge
Sexta   treze   Fan
Sabado   nove   Fridge
Sabado   dez   Fridge
Sexta   treze   Fridge
Sabado   onze   Fridge
Sabado   onze   Shower
Sabado   onze   Fan
Sabado   onze   Shower
Sabado   onze   Shower
Sabado   onze   Fan
Sabado   doze   Fridge
Sabado   doze   Fridge
Sexta   treze   Fridge
Sexta   doze   Fan
Sexta   doze   Shower
Sabado   treze   Fridge
Sabado   treze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fan
Sexta   doze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sabado   treze   Fan
Sabado   treze   Fridge
Sabado   treze   Fridge
Sexta   doze   Fan
Sexta   doze   Shower
Sexta   doze   Fan
Sexta   doze   Fridge
Sexta   doze   Fan
Sexta   doze   Fan
Sabado   quatorze   Fan
Sabado   quatorze   Fan
Sexta   doze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fan
Sexta   doze   Fridge
Sabado   quatorze   Fridge
Sabado   quinze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sabado   quinze   Fridge
Sexta   doze   Fridge
Sabado   dezesseis   Fridge
Sabado   dezoito   Fan
Sabado   dezoito   Fan
Sabado   dezoito   Fridge
Sabado   dezenove   Fridge
Sexta   doze   Fridge
Sabado   dezenove   Fridge
Sexta   doze   Fan
Sabado   vinte   Shower
Sabado   vinte   Fan
Sabado   vinte   Fan
Sabado   vinteUm   Fridge
Sabado   vinteUm   Fan
Sabado   vinteUm   Fan
Sabado   vinteUm   Fan
Sabado   vinteUm   Fridge
Sabado   vinteUm   Fridge
Sabado   vinteDois   Shower
Sabado   vinteDois   Fan
